AÑO,Comunidad autónoma,Han teletrabajado,No han teletrabajado aunque su trabajo les permitiría teletrabajar,No han teletrabajado porque su trabajo no les permitiría teletrabajar
2021,Andalucía,396.685312,557.83872,2144.5799680000005
2021,Aragón,70.266375,96.68653199999999,395.178093
2021,"Asturias, Principado de",42.925218,70.035882,263.199363
2021,"Balears, Illes",41.821099000000004,91.05353199999999,396.50636900000006
2021,Canarias,123.349465,115.391435,557.0621
2021,Cantabria,15.171617999999999,47.35383800000001,167.347544
2021,Castilla - La Mancha,67.615158,134.363455,664.882387
2021,Castilla y León,96.92650200000001,135.50889600000002,708.598602
2021,Cataluña,761.1229079999999,484.64663800000005,2006.892454
2021,Ceuta,1.3666830000000003,9.725237000000002,8.71508
2021,Comunitat Valenciana,290.26881,338.959062,1243.474128
2021,Extremadura,44.022822,81.30341,271.27576799999997
2021,Galicia,107.21667600000002,197.55665299999995,686.9809240000001
2021,"Madrid, Comunidad de",1001.73441,479.09037,1422.75322
2021,Melilla,2.0949560000000003,3.1580679999999997,26.014976
2021,"Murcia, Región de",62.31721600000001,133.622492,403.26429199999995
2021,"Navarra, Comunidad Foral de",29.642305,56.79366,162.65903500000002
2021,País Vasco,114.66467999999999,206.39642400000002,527.457528
2021,"Rioja, La",14.912700000000001,23.99589,96.66141
2022,Andalucía,320.62647999999996,607.14376,2483.14976
2022,Aragón,44.513007,105.790653,427.78734000000003
2022,"Asturias, Principado de",29.478424,68.26582400000001,290.517626
2022,"Balears, Illes",41.758152,105.33026399999999,476.79084
2022,Canarias,104.19391499999999,132.971282,756.150126
2022,Cantabria,21.782022,46.713252,193.93872600000003
2022,Castilla - La Mancha,47.903856000000005,146.475252,725.9276639999998
2022,Castilla y León,121.304356,158.09338200000002,714.900262
2022,Cataluña,772.4843079999999,783.1148260000001,1987.9068659999998
2022,Ceuta,2.1002680000000002,4.853322,21.400028000000002
2022,Comunitat Valenciana,246.99607999999998,493.99215999999996,1406.80376
2022,Extremadura,24.55146,73.65438,311.394351
2022,Galicia,91.06327999999999,210.06643,733.68029
2022,"Madrid, Comunidad de",784.4204669999998,510.34584599999994,1858.66697
2022,Melilla,1.342806,5.6892570000000005,28.304937
2022,"Murcia, Región de",54.04979399999999,136.67764000000003,430.534566
2022,"Navarra, Comunidad Foral de",32.057865,76.938876,196.62157200000004
2022,País Vasco,123.048584,182.763338,599.8618469999999
2022,"Rioja, La",11.032950000000001,28.097246,107.97580400000001
2023,Andalucía,286.093632,656.714928,2308.25544
2023,Aragón,52.860482000000005,108.096716,432.98080200000004
2023,"Asturias, Principado de",34.840889999999995,70.88319,294.34545
2023,"Balears, Illes",77.49611999999999,102.533328,416.09455199999996
2023,Canarias,109.627077,206.179365,689.946558
2023,Cantabria,16.675904000000003,40.647516,203.23757999999998
2023,Castilla - La Mancha,45.6641,181.74311799999995,686.788064
2023,Castilla y León,83.667625,163.39795,737.2594250000001
2023,Cataluña,730.422028,666.4159739999999,2368.2239979999995
2023,Ceuta,1.139045,1.817625,21.27833
2023,Comunitat Valenciana,297.91472,458.83216,1417.81312
2023,Extremadura,35.13501,68.708464,286.545526
2023,Galicia,94.588734,219.97379999999998,786.406335
2023,"Madrid, Comunidad de",793.4407199999999,535.5724859999999,1976.9897939999998
2023,Melilla,2.62977,7.451015,23.634215
2023,"Murcia, Región de",47.128593,124.791204,491.863203
2023,"Navarra, Comunidad Foral de",36.402123,51.922408,194.144656
2023,País Vasco,131.896468,243.122594,609.282938
2023,"Rioja, La",10.764225,32.579721,100.17905400000001
