AÑO,Comunidad autónoma,Ocupados,Total Actividad
2018,01 Andalucía,3030750.0,6918475.0
2018,02 Aragón,573825.0,1094350.0
2018,"03 Asturias, Principado de",391900.0,893475.0
2018,"04 Balears, Illes",560175.0,982700.0
2018,05 Canarias,897200.0,1858325.0
2018,06 Cantabria,240975.0,492150.0
2018,07 Castilla y León,982775.0,2049950.0
2018,08 Castilla - La Mancha,804975.0,1673775.0
2018,09 Cataluña,3362175.0,6199250.0
2018,10 Comunitat Valenciana,2042875.0,4133875.0
2018,11 Extremadura,378900.0,897100.0
2018,12 Galicia,1077625.0,2334000.0
2018,"13 Madrid, Comunidad de",2990900.0,5417400.0
2018,"14 Murcia, Región de",592275.0,1199550.0
2018,"15 Navarra, Comunidad Foral de",282175.0,530725.0
2018,16 País Vasco,923525.0,1822900.0
2018,"17 Rioja, La",138025.0,260400.0
2018,18 Ceuta,27950.0,65750.0
2018,19 Melilla,28700.0,62650.0
2019,01 Andalucía,3119750.0,6969650.0
2019,02 Aragón,587550.0,1103100.0
2019,"03 Asturias, Principado de",387050.0,889725.0
2019,"04 Balears, Illes",571150.0,1004800.0
2019,05 Canarias,905925.0,1895925.0
2019,06 Cantabria,243825.0,493650.0
2019,07 Castilla y León,990775.0,2044850.0
2019,08 Castilla - La Mancha,825075.0,1683725.0
2019,09 Cataluña,3440675.0,6282275.0
2019,10 Comunitat Valenciana,2087250.0,4174625.0
2019,11 Extremadura,390675.0,894825.0
2019,12 Galicia,1095175.0,2335325.0
2019,"13 Madrid, Comunidad de",3098950.0,5518025.0
2019,"14 Murcia, Región de",613750.0,1216750.0
2019,"15 Navarra, Comunidad Foral de",288875.0,536950.0
2019,16 País Vasco,936100.0,1834075.0
2019,"17 Rioja, La",140625.0,262475.0
2019,18 Ceuta,28500.0,65675.0
2019,19 Melilla,27575.0,62900.0
2020,01 Andalucía,3021125.0,7020600.0
2020,02 Aragón,569875.0,1110600.0
2020,"03 Asturias, Principado de",381100.0,887100.0
2020,"04 Balears, Illes",528225.0,1022375.0
2020,05 Canarias,849775.0,1922400.0
2020,06 Cantabria,234400.0,495750.0
2020,07 Castilla y León,964700.0,2040050.0
2020,08 Castilla - La Mancha,798375.0,1693625.0
2020,09 Cataluña,3335800.0,6327625.0
2020,10 Comunitat Valenciana,2020350.0,4216300.0
2020,11 Extremadura,380300.0,893875.0
2020,12 Galicia,1074225.0,2339000.0
2020,"13 Madrid, Comunidad de",3045600.0,5601125.0
2020,"14 Murcia, Región de",606900.0,1230625.0
2020,"15 Navarra, Comunidad Foral de",278400.0,541850.0
2020,16 País Vasco,917550.0,1842575.0
2020,"17 Rioja, La",137850.0,264625.0
2020,18 Ceuta,28450.0,65725.0
2020,19 Melilla,29450.0,62950.0
2021,01 Andalucía,3152500.0,7077600.0
2021,02 Aragón,588625.0,1124375.0
2021,"03 Asturias, Principado de",391475.0,885875.0
2021,"04 Balears, Illes",538000.0,993400.0
2021,05 Canarias,830425.0,1875475.0
2021,06 Cantabria,244975.0,499875.0
2021,07 Castilla y León,975975.0,2064300.0
2021,08 Castilla - La Mancha,847875.0,1718400.0
2021,09 Cataluña,3490075.0,6459550.0
2021,10 Comunitat Valenciana,2076750.0,4283225.0
2021,11 Extremadura,394925.0,904200.0
2021,12 Galicia,1087075.0,2344375.0
2021,"13 Madrid, Comunidad de",3146475.0,5626050.0
2021,"14 Murcia, Región de",638750.0,1244325.0
2021,"15 Navarra, Comunidad Foral de",285850.0,550325.0
2021,16 País Vasco,946825.0,1875950.0
2021,"17 Rioja, La",142500.0,269225.0
2021,18 Ceuta,24350.0,64400.0
2021,19 Melilla,29950.0,65025.0
2022,01 Andalucía,3275750.0,7151200.0
2022,02 Aragón,599850.0,1130325.0
2022,"03 Asturias, Principado de",383825.0,887775.0
2022,"04 Balears, Illes",575975.0,1006850.0
2022,05 Canarias,925200.0,1898725.0
2022,06 Cantabria,249150.0,503725.0
2022,07 Castilla y León,1010050.0,2065525.0
2022,08 Castilla - La Mancha,871550.0,1738825.0
2022,09 Cataluña,3593525.0,6550050.0
2022,10 Comunitat Valenciana,2216100.0,4353450.0
2022,11 Extremadura,409525.0,902950.0
2022,12 Galicia,1103550.0,2349075.0
2022,"13 Madrid, Comunidad de",3218500.0,5726875.0
2022,"14 Murcia, Región de",650675.0,1264225.0
2022,"15 Navarra, Comunidad Foral de",295550.0,557600.0
2022,16 País Vasco,967275.0,1880275.0
2022,"17 Rioja, La",145775.0,270700.0
2022,18 Ceuta,27850.0,64750.0
2022,19 Melilla,27775.0,64425.0
2023,01 Andalucía,3383850.0,7227675.0
2023,02 Aragón,611300.0,1141300.0
2023,"03 Asturias, Principado de",392500.0,891775.0
2023,"04 Balears, Illes",589575.0,1033375.0
2023,05 Canarias,968425.0,1929625.0
2023,06 Cantabria,254850.0,506100.0
2023,07 Castilla y León,1011375.0,2073725.0
2023,08 Castilla - La Mancha,895075.0,1760700.0
2023,09 Cataluña,3734525.0,6697200.0
2023,10 Comunitat Valenciana,2304100.0,4463350.0
2023,11 Extremadura,415250.0,901975.0
2023,12 Galicia,1128550.0,2358800.0
2023,"13 Madrid, Comunidad de",3328225.0,5843850.0
2023,"14 Murcia, Región de",668625.0,1286425.0
2023,"15 Navarra, Comunidad Foral de",298725.0,564300.0
2023,16 País Vasco,995750.0,1897850.0
2023,"17 Rioja, La",146625.0,274375.0
2023,18 Ceuta,28000.0,64450.0
2023,19 Melilla,26775.0,65875.0
